CANAL,CLASSIFICACAO_CANAL,CNPJ_PROGRAMADORA,CLASSIFICACAO_PROGRAMADORA,NR_IDENTIFICACAO,OFERTA_CLIENTE,DENSIDADE_CANAL,PAIS_PROGRAMADORA,TIPO_CONTEUDO_CANAL,NOME_PROGRAMADORA,DATA_INICIO_OFERTA
E! ENTERTAINMENT TELEVISION HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,5086130006,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"NBC UNIVERSAL GLOBAL NETWORKS LATIN AMERICA, LLC",2016-09-01
EMPREENDER,Canal de programação comum,04334366000158,Programadora brasileira,329330017,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo jornalístico,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2022-07-05
ESPN,Canal de programação comum,00637277000120,Programadora brasileira de capital estrangeiro,65330002,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,1995-06-13
ESPN 2,Canal de programação comum,00637277000120,Programadora brasileira de capital estrangeiro,65330001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,1989-10-01
ESPN 2 HD,Canal de programação comum,00637277000120,Programadora brasileira de capital estrangeiro,65330005,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,2013-06-07
ESPN 3,Canal de programação comum,00637277000120,Programadora brasileira de capital estrangeiro,65330007,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,2017-01-01
ESPN 3 HD,Canal de programação comum,00637277000120,Programadora brasileira de capital estrangeiro,65330003,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,2009-04-29
ESPN 4,Canal de programação comum,,PROGRAMADORA ESTRANGEIRA,627630004,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo esportivo,TFCF LATIN AMERICAN CHANNEL LLC,2012-02-01
ESPN 4 HD,Canal de programação comum,,PROGRAMADORA ESTRANGEIRA,627630011,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo esportivo,TFCF LATIN AMERICAN CHANNEL LLC,2012-02-01
ESPN 5,Canal de programação comum,,PROGRAMADORA ESTRANGEIRA,627630012,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo esportivo,TFCF LATIN AMERICAN CHANNEL LLC,2014-01-01
ESPN 5 HD,Canal de programação comum,,PROGRAMADORA ESTRANGEIRA,627630013,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo esportivo,TFCF LATIN AMERICAN CHANNEL LLC,2014-01-01
ESPN 6,Canal de programação comum,00637277000120,Programadora brasileira de capital estrangeiro,65330006,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,2016-03-01
ESPN HD,Canal de programação comum,00637277000120,Programadora brasileira de capital estrangeiro,65330004,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,2012-08-01
EUROCHANNEL,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,621430001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"EUROCHANNEL, INC",2001-10-03
EURONEWS,Canal não adaptado ao mercado brasileiro,,PROGRAMADORA ESTRANGEIRA,3057430001,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,FRANÇA,Canal de conteúdo em geral,EURONEWS S.A.,2015-08-04
FASHION TV BRAZIL,Canal brasileiro de espaço qualificado,07254174000120,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",474430007,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2012-08-20
FASHION TV BRAZIL HD,Canal brasileiro de espaço qualificado,07254174000120,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",474430008,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2015-07-01
FILM & ARTS,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,626830001,CANAL OFERTADO EM PACOTE,PADRÃO,ARGENTINA,Canal de conteúdo em geral,AMC NETWORKS ARGENTINA S.C.A.,2018-06-01
FILM & ARTS HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,626830002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ARGENTINA,Canal de conteúdo em geral,AMC NETWORKS ARGENTINA S.C.A.,2018-06-01
FISHTV,Canal brasileiro de espaço qualificado,14807981000198,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",2226930001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,TUNNA ENTRETENIMENTO E AUDIOVISUAL LTDA,2012-06-29
FISHTV HD,Canal brasileiro de espaço qualificado,14807981000198,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",2226930002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,TUNNA ENTRETENIMENTO E AUDIOVISUAL LTDA,2018-02-01
FOOD NETWORK,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930021,CANAL OFERTADO EM PACOTE,PADRÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2014-03-01
FOOD NETWORK HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930022,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2014-03-01
FUEL TV,Canal de programação comum,,PROGRAMADORA ESTRANGEIRA,4529730001,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",ALTA DEFINIÇÃO,PORTUGAL,Canal de conteúdo em geral,FUEL TV EMEA S.A.,2020-10-01
FX HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,627630016,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,2014-06-02
GLOBO NEWS,Canal de programação comum,27865757000102,Programadora brasileira independente,472730002,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo jornalístico,GLOBO COMUNICACAO E PARTICIPACOES S/A,1996-10-15
GLOBO NEWS HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730003,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo jornalístico,GLOBO COMUNICACAO E PARTICIPACOES S/A,2013-02-03
GLOOB,Canal de espaço qualificado,27865757000102,Programadora brasileira independente,472730005,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo infantil e adolescente,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
GLOOB (EM HD),Canal de espaço qualificado,27865757000102,Programadora brasileira independente,472730018,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo infantil e adolescente,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
GLOOBINHO,Canal de espaço qualificado,27865757000102,Programadora brasileira independente,472730095,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo infantil e adolescente,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
GNT,Canal de espaço qualificado,27865757000102,Programadora brasileira independente,472730006,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
GNT HD,Canal de espaço qualificado,27865757000102,Programadora brasileira independente,472730014,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
H2,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2239930003,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC",2014-10-01
H2 HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2239930004,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC",2014-10-01
HBO,Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130003,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO (EM HD),Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130004,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO 2,Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130019,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO 2 (EM HD),Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130020,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO FAMILY,Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130005,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO FAMILY (EM HD),Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130006,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO MUNDI,Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130008,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO MUNDI HD,Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130009,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO PLUS,Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130010,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO PLUS (EM HD),Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130011,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO POP,Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130013,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO POP HD,Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130014,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO SIGNATURE,Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130015,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO SIGNATURE (EM HD),Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130016,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO XTREME,Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130017,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HBO XTREME HD,Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130018,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
HGTV HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930024,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2019-06-10
HGTV SD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930023,CANAL OFERTADO EM PACOTE,PADRÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2019-06-10
INVESTIGAÇÃO DISCOVERY,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930009,CANAL OFERTADO EM PACOTE,PADRÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2012-07-09
INVESTIGAÇÃO DISCOVERY HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930013,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2012-12-04
JOVEM PAN NEWS,Canal de programação comum,56137979000107,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4972330001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo jornalístico,DIGITAL SEVEN PRODUTORA E DISTRIBUIDORA EIRELI,2021-10-27
LIFETIME,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2706030001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"LIFETIME BRAZIL DISTRIBUTION, LLC.",2014-07-01
LIFETIME HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2706030002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"LIFETIME BRAZIL DISTRIBUTION, LLC.",2016-11-06
LIVETV,Canal de programação comum,00589639000154,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",5268630001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de televenda ou infomercial,ZIGON COMUNICACOES LTDA,2023-03-15
LIVETV,Canal de programação comum,50187341000196,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",5728530001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de televenda ou infomercial,LIVE TV SP LTDA,2023-04-03
LMC+,Canal de espaço qualificado,24815120000105,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",5256030001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,NIRVANA TECNOLOGIA DIGITAL LTDA,2023-09-15
MACAE TV,Canal de programação comum,14185374000133,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4033530001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,MACAÉ TV LTDA,2018-03-01
MARKKET,Canal de programação comum,07254174000120,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",474430011,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de televenda ou infomercial,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2022-03-01
MARKKET HD,Canal de programação comum,07254174000120,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",474430012,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de televenda ou infomercial,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2022-03-01
MAS CHIC,Canal não adaptado ao mercado brasileiro,06147448000119,PROGRAMADORA ESTRANGEIRA,621130001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,AMC NETWORKS LATIN AMERICA LLC,2005-08-01
MASTER,Canal de programação comum,03187306000197,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",2092530001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,PREDICIT COMUNICAÇÕES LTDA-ME,2001-07-04
MEGAPIX,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930012,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2008-07-01
MEGAPIX HD,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930013,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2010-08-01
MODO VIAGEM,Canal brasileiro de espaço qualificado,27865757000102,Programadora brasileira independente,472730017,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
MODO VIAGEM (HD),Canal brasileiro de espaço qualificado,27865757000102,Programadora brasileira independente,472730012,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
MTV,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,620930009,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,MTV NETWORKS LATIN AMERICA INC.,2013-10-01
MTV HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,620930011,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,MTV NETWORKS LATIN AMERICA INC.,2013-10-01
MTV LIVE HD,Canal não adaptado ao mercado brasileiro,,PROGRAMADORA ESTRANGEIRA,620930016,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo videomusical,MTV NETWORKS LATIN AMERICA INC.,2018-07-15
MULTISHOW,Canal de espaço qualificado,27865757000102,Programadora brasileira independente,472730119,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
MULTISHOW HD,Canal de espaço qualificado,27865757000102,Programadora brasileira independente,472730021,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
MUSIC BOX BRAZIL,Canal brasileiro de espaço qualificado,07254174000120,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",474430003,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo videomusical,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2012-08-20
MUSIC BOX BRAZIL HD,Canal brasileiro de espaço qualificado,07254174000120,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",474430004,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo videomusical,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2012-09-15
NATIONAL GEOGRAPHIC,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,627630001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,2000-01-01
NATIONAL GEOGRAPHIC HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,627630017,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,2014-06-02
NEW BRASIL,Canal de programação comum,26674863000138,Programadora brasileira independente,4245530003,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo jornalístico,ASTARTE PRODUTORA LTDA.,2024-02-22
NICK JR,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,620930003,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,MTV NETWORKS LATIN AMERICA INC.,2008-04-01
NICK JR HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,620930015,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,MTV NETWORKS LATIN AMERICA INC.,2017-06-01
NICKELODEON,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,620930001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,MTV NETWORKS LATIN AMERICA INC.,1996-12-01
NICKELODEON HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,620930014,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,MTV NETWORKS LATIN AMERICA INC.,2015-07-17
NORDESTE FC 1 - HD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130002,CANAL À LA CARTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-01-26
NORDESTE FC 1 - SD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130001,CANAL À LA CARTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-01-26
NORDESTE FC 2 - HD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130004,CANAL À LA CARTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-01-26
NORDESTE FC 2 - SD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130003,CANAL À LA CARTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-01-26
NORDESTE FC 3 - HD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130006,CANAL À LA CARTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-02-26
NORDESTE FC 3 - SD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130005,CANAL À LA CARTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-02-26
NORDESTE FC 4 - HD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130008,CANAL À LA CARTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-04-10
NORDESTE FC 4 - SD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130007,CANAL À LA CARTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-04-10
NORDESTE FC 5 - HD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130010,CANAL À LA CARTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-04-10
NORDESTE FC 5 - SD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130009,CANAL À LA CARTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-04-10
NORDESTE FC 6 - HD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130012,CANAL À LA CARTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-04-10
NORDESTE FC 6 - SD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130011,CANAL À LA CARTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-04-10
NORDESTE FC 7 - HD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130014,CANAL À LA CARTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-04-10
NORDESTE FC 7 - SD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130013,CANAL À LA CARTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-04-10
NOSSA TV HD,Canal de programação comum,08626106000107,,4214930002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,COMUNICACAO MOSSOROENSE LTDA,2019-05-07
NOSSA TV SD,Canal de programação comum,08626106000107,,4214930001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,COMUNICACAO MOSSOROENSE LTDA,2019-05-07
